Sample,Depth_From,Depth_To,Mid_Depth,Thickness,Wn,Unit_Weight,Pass_4,Pass_200,LL,PL,PI,Soil_Class,Su,Su_from_N,N,Ncor
ST-01,1.5,2.0,1.75,0.5,-,,,,,,,,,,,
ST-02,3.0,3.5,3.25,0.5,45.28,,,,,,,,,,,
ST-03,4.5,5.0,4.75,0.5,55.15,1.64,,,25.16,35.64,35.64,CH,,,,
ST-04,6.0,6.5,6.25,0.5,61.94,,,,24.96,52.49,52.49,CH,1.13,,,
ST-05,7.5,8.0,7.75,0.5,82.56,,,,,,,,,,,
ST-06,9.0,9.5,9.25,0.5,82.57,1.65,,,33.01,62.39,62.39,CH,1.21,,,
ST-07,10.5,11.0,10.75,0.5,67.18,,,,,,,,,,,
ST-08,12.0,12.5,12.25,0.5,64.75,,,,,,,,,,,
ST-09,13.5,14.0,13.75,0.5,23.3,2.0,,,23.26,34.24,34.24,CH,7.5,,,
SS-10,15.0,15.5,15.25,0.5,26.72,,,,18.23,24.27,24.27,CL,,0.0,38.0,0.0
SS-11,16.5,16.95,16.725,0.4499999999999993,34.31,1.9,,,,,,,,0.0,30.0,0.0
SS-12,18.0,18.45,18.225,0.4499999999999993,38.22,1.93,,,,,,,,0.0,39.0,0.0
SS-13,19.5,19.95,19.725,0.4499999999999993,28.07,1.95,,,,,,,,0.0,55.0,0.0
SS-14,21.0,21.45,21.225,0.4499999999999993,28.77,,100.0,91.69,17.34,20.66,20.66,CL,,0.0,60.0,0.0
SS-15,22.5,22.95,22.725,0.4499999999999993,19.53,,100.0,28.61,16.45,14.75,14.75,SC,,,31.0,0.0
SS-16,24.0,24.45,24.225,0.4499999999999993,-,,,,,,,,,,60.0,0.0
SS-17,25.5,25.95,25.725,0.4499999999999993,19.46,,,,,,,,,,60.0,0.0
SS-18,27.0,27.45,27.225,0.4499999999999993,27.27,1.98,,,18.45,38.55,38.55,CH,,0.0,60.0,0.0
SS-19,28.5,28.95,28.725,0.4499999999999993,31.4,2.0,,,,,,,,0.0,61.0,0.0
SS-20,30.0,30.45,30.225,0.4499999999999993,24.89,2.03,,,,,,,,0.0,66.0,0.0
SS-21,31.5,31.95,31.725,0.4499999999999993,26.28,,,,20.97,36.03,36.03,CH,,0.0,56.0,0.0
SS-22,33.0,33.45,33.225,0.45000000000000284,28.45,2.03,,,,,,,,0.0,49.0,0.0
SS-23,34.5,34.95,34.725,0.45000000000000284,22.85,,,,,,,,,0.0,56.0,0.0
SS-24,36.0,36.45,36.225,0.45000000000000284,20.51,2.0,,,19.67,34.73,34.73,CH,,0.0,85.0,0.0
SS-25,37.5,37.95,37.725,0.45000000000000284,23.42,2.03,,,,,,,,0.0,78.0,0.0
SS-26,39.0,39.45,39.225,0.45000000000000284,29.6,2.01,,,,,,,,0.0,72.0,0.0
SS-27,40.5,40.95,40.725,0.45000000000000284,24.78,2.04,,,,,,,,0.0,79.0,0.0
SS-28,42.0,42.45,42.225,0.45000000000000284,26.52,,,,,,,,,0.0,80.0,0.0
SS-29,43.5,43.95,43.725,0.45000000000000284,27.61,,,,18.59,26.41,26.41,CL,,0.0,63.0,39.0
SS-30,45.0,45.45,45.225,0.45000000000000284,54.14,,,,,,,,,,67.0,41.0
SS-31,46.5,46.95,46.725,0.45000000000000284,22.14,,100.0,67.29,,,,SM,,,110.0,63.0
SS-32,48.0,48.45,48.225,0.45000000000000284,20.91,,,,,,,,,,152.0,0.0
SS-33,49.5,49.95,49.725,0.45000000000000284,20.08,,100.0,8.31,,,,SP-SM,,,155.0,0.0
SS-34,51.0,51.45,51.225,0.45000000000000284,20,,,,,,,,,,157.0,0.0
SS-35,52.5,52.95,52.725,0.45000000000000284,21.04,2.07,100.0,94.83,18.91,29.49,29.49,CL,,0.0,85.0,0.0
SS-36,54.0,54.45,54.225,0.45000000000000284,20.71,,,,,,,,,0.0,68.0,0.0
SS-37,55.5,55.95,55.725,0.45000000000000284,22.21,,,,,,,,,0.0,78.0,0.0
SS-38,57.0,57.45,57.225,0.45000000000000284,19.8,,,,,,,,,0.0,73.0,0.0
SS-39,58.5,58.95,58.725,0.45000000000000284,24.99,,,,,,,,,0.0,79.0,0.0
SS-40,60.0,60.45,60.225,0.45000000000000284,27.22,2.06,100.0,93.1,16.82,11.68,11.68,CL,,0.0,83.0,0.0
